Date,interview length,Questions rating,Responses rating,practice,game,win_prac_loss,win,loss,home,away,series result,cumulative wins,cumulative losses
2020-10-11,9,0.666666667,0.777777778,0,1,1,1,0,0,1,1,4,2
2020-10-09,8,0.25,0.25,0,1,-1,0,1,0,1,0,3,2
2020-10-08,10,0.6,0.8,1,0,0,0,0,0,1,0,3,1
2020-10-06,11,0.727272727,0.909090909,0,1,1,1,0,0,1,0,3,1
2020-10-05,9,0.222222222,0.777777778,1,0,0,0,0,0,1,0,2,1
2020-10-04,9,-0.111111111,0.444444444,0,1,-1,0,1,0,1,0,2,1
2020-10-02,6,0.666666667,0.666666667,0,1,1,1,0,0,1,0,2,0
2020-09-30,8,0.375,0.5,0,1,1,1,0,0,1,0,1,0
2020-09-29,12,0.25,0.833333333,1,0,0,0,0,0,1,0,0,0
2018-06-08,14,0.571428571,0.285714286,0,1,-1,0,1,1,0,-1,0,4
2018-06-07,16,0.0625,0.375,1,0,0,0,0,1,0,0,0,3
2018-06-06,11,0.272727273,0.454545455,0,1,-1,0,1,1,0,0,0,3
2018-06-05,16,0.25,0.3125,1,0,0,0,0,1,0,0,0,2
2018-06-03,9,0.222222222,0.666666667,0,1,-1,0,1,0,1,0,0,2
2018-06-02,16,0.375,0.6875,1,0,0,0,0,0,1,0,0,1
2018-05-31,16,-0.125,0.25,0,1,-1,0,1,0,1,0,0,1
2018-05-30,11,0.0,0.363636364,1,0,0,0,0,0,1,0,0,0
2017-06-12,11,0.0,0.363636364,0,1,-1,0,1,0,1,-1,1,3
2017-06-11,17,0.235294118,0.764705882,1,0,0,0,0,0,1,0,1,2
2017-06-09,18,0.722222222,0.666666667,0,1,1,1,0,1,0,0,1,2
2017-06-08,12,0.583333333,0.666666667,1,0,0,0,0,1,0,0,0,2
2017-06-07,12,0.166666667,0.5,0,1,-1,0,1,1,0,0,0,2
2017-06-06,14,-0.214285714,0.785714286,1,0,0,0,0,1,0,0,0,1
2017-06-03,20,0.35,0.631578947,1,0,0,0,0,0,1,0,0,1
2017-06-01,11,0.0,0.454545455,0,1,-1,0,1,0,1,0,0,1
2017-05-31,9,0.333333333,0.777777778,1,0,0,0,0,0,1,0,0,0
2016-06-19,12,0.583333333,0.916666667,0,1,1,1,0,0,1,1,4,3
2016-06-18,20,0.45,0.8,1,0,0,0,0,0,1,0,3,3
2016-06-16,23,0.695652174,0.739130435,0,1,1,1,0,1,0,0,3,3
2016-06-15,16,0.4375,0.8125,1,0,0,0,0,1,0,0,2,3
2016-06-13,18,0.333333333,0.777777778,0,1,1,1,0,0,1,0,2,3
2016-06-12,18,-0.166666667,0.444444444,1,0,0,0,0,0,1,0,1,3
2016-06-10,18,0.055555556,0.388888889,0,1,-1,0,1,1,0,0,1,3
